ReleaseNumber,InvoiceNumber,CustomerPO,Status,InvoiceDate,OrderDate,SalesOrderAmount,InvoiceAmount,MerchAmount,TaxAmount,Freight,Other,InvoiceDueDate,ShipToNumber,ShipToName,ShipToAddress1,ShipToAddress2,ShipToAddress3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCountry,OrderEntryDate,ShipVia,ARTermCode,TotalQty,TotalWeight,TrackingNumbers,InvStatus,InvBalDue,PreferredCarrier,UnitsSold,ProductNumber,ModelNum,Description,UOM,Cost,ExtCost,OrdNum,LineItemNum,BOQty,ShipQty,LineItemWeightExt,ShipWhseNum,LineShipVia,SerialNums
DC246579,DC202929,SHAWN,INV,02/28/2025,02/28/2025,125.61,0.00,125.61,10.17,0.00,0.00,02/28/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,02/28/2025,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,52,20.6,,P,0.00,,25,LAS-56-4062,406-015 25/BX 1.5&quot;S,SCH40 PVC 90^ ELL,EA,1.63,40.75,DC246579,1,0,25,12.50,214,PRIORITY PICK,
DC246579,DC202929,SHAWN,INV,02/28/2025,02/28/2025,125.61,0.00,125.61,10.17,0.00,0.00,02/28/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,02/28/2025,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,52,20.6,,P,0.00,,25,LAS-56-4079,429-015 25/BX 1.5&quot;S,SCH40 PVC COUPLING,EA,0.99,24.75,DC246579,2,0,25,3.75,214,PRIORITY PICK,
DC246579,DC202929,SHAWN,INV,02/28/2025,02/28/2025,125.61,0.00,125.61,10.17,0.00,0.00,02/28/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,02/28/2025,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,52,20.6,,P,0.00,,1,CNN-53-1015,460 CHANNELLOCK,16.5&quot; STRAIGHT JAW PLIERS,EA,38.87,38.87,DC246579,3,0,1,2.75,214,PRIORITY PICK,
DC246579,DC202929,SHAWN,INV,02/28/2025,02/28/2025,125.61,0.00,125.61,10.17,0.00,0.00,02/28/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,02/28/2025,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,52,20.6,,P,0.00,,1,SPG-57-1001,WPLT05-63-SP .5&quot;x6' NM,#12 SOLID 3-WIRE WHIP KIT,EA,21.24,21.24,DC246579,4,0,1,1.60,214,PRIORITY PICK,
ND389925,ND319689,SHAWN,INV,02/27/2025,02/27/2025,129.06,139.77,129.06,10.71,0.00,0.00,02/27/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,02/27/2025,WILL CALL PICKUP,PP - 100% PREPAYMENT PICK-UP,8,7.29,,P,0.00,No Preferred Carrier,3,SPG-601-1261,O-515KIT-9 JANDY,DIVERTER VALVE ORING KIT,EA,4.09,12.27,ND389925,2,0,3,0.15,512A,WILL CALL PICKUP,
ND389925,ND319689,SHAWN,INV,02/27/2025,02/27/2025,129.06,139.77,129.06,10.71,0.00,0.00,02/27/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,02/27/2025,WILL CALL PICKUP,PP - 100% PREPAYMENT PICK-UP,8,7.29,,P,0.00,No Preferred Carrier,1,PMR-57-1830,EC511830 50' EXTENSION CORD,YELLOW 12/3 SJTW LIT END,EA,47.69,47.69,ND389925,11,0,1,6.70,512A,WILL CALL PICKUP,
ND389925,ND319689,SHAWN,INV,02/27/2025,02/27/2025,129.06,139.77,129.06,10.71,0.00,0.00,02/27/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,02/27/2025,WILL CALL PICKUP,PP - 100% PREPAYMENT PICK-UP,8,7.29,,P,0.00,No Preferred Carrier,1,HAY-101-1516,SPX4000TS NORTHSTAR STRAINER,COVER T-RING (2003-2007),EA,33.25,33.25,ND389925,16,0,1,0.06,512A,WILL CALL PICKUP,
ND389925,ND319689,SHAWN,INV,02/27/2025,02/27/2025,129.06,139.77,129.06,10.71,0.00,0.00,02/27/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,02/27/2025,WILL CALL PICKUP,PP - 100% PREPAYMENT PICK-UP,8,7.29,,P,0.00,No Preferred Carrier,2,HAY-101-1404,SPX4000Z1 TRISTAR/ ECOSTAR/,NORTHSTAR DIFFUSER ORING,EA,14.30,28.60,ND389925,20,0,2,0.08,512A,WILL CALL PICKUP,
ND389925,ND319689,SHAWN,INV,02/27/2025,02/27/2025,129.06,139.77,129.06,10.71,0.00,0.00,02/27/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,02/27/2025,WILL CALL PICKUP,PP - 100% PREPAYMENT PICK-UP,8,7.29,,P,0.00,No Preferred Carrier,1,ALA-60-1001,631,5OZ MAGIC LUBE,EA,7.25,7.25,ND389925,21,0,1,0.30,512A,WILL CALL PICKUP,
ND389714,ND319506,,INV,02/26/2025,02/26/2025,48.35,52.36,48.35,4.01,0.00,0.00,02/26/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,02/26/2025,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,1.35,,P,0.00,No Preferred Carrier,1,SPG-40-2011,SP2011 12/CS 20&quot; LEAF RAKE HD,HEAVY DUTY MESH METAL HANDLE,EA,48.35,48.35,ND389714,1,0,1,1.35,512A,PRIORITY PICK,
