ReleaseNumber,InvoiceNumber,CustomerPO,Status,InvoiceDate,OrderDate,SalesOrderAmount,InvoiceAmount,MerchAmount,TaxAmount,Freight,Other,InvoiceDueDate,ShipToNumber,ShipToName,ShipToAddress1,ShipToAddress2,ShipToAddress3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCountry,OrderEntryDate,ShipVia,ARTermCode,TotalQty,TotalWeight,TrackingNumbers,InvStatus,InvBalDue,PreferredCarrier,UnitsSold,ProductNumber,ModelNum,Description,UOM,Cost,ExtCost,OrdNum,LineItemNum,BOQty,ShipQty,LineItemWeightExt,ShipWhseNum,LineShipVia,SerialNums
DC244630,DC201428,JAMIE,INV,1/31/25,1/31/25,293.02,0,293.02,23.73,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,222.1,,P,0,,1,LII-561-0528,528 KORKY QUIETFILL,FILL VALVE,EA,9.54,9.54,DC244630,1,0,1,0.1,214,PRIORITY PICK,
DC244630,DC201428,JAMIE,INV,1/31/25,1/31/25,293.02,0,293.02,23.73,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,222.1,,P,0,,1,SPG-601-5005,GO-KIT5-9 PAC-FAB,CHALLENGER PUMP SEAL KIT,EA,31.52,31.52,DC244630,2,0,1,0.4,214,PRIORITY PICK,
DC244630,DC201428,JAMIE,INV,1/31/25,1/31/25,293.02,0,293.02,23.73,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,222.1,,P,0,,2,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,CS,28.04,56.08,DC244630,3,0,2,82.4,214,PRIORITY PICK,
DC244630,DC201428,JAMIE,INV,1/31/25,1/31/25,293.02,0,293.02,23.73,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,222.1,,P,0,,0,CN,*DEPOSIT REQUIRED! ADD DEPOSIT,SKU ON SEPARATE LINE,,0,0,DC244630,4,0,0,0,214,PRIORITY PICK,
DC244630,DC201428,JAMIE,INV,1/31/25,1/31/25,293.02,0,293.02,23.73,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,222.1,,P,0,,0,CP,MSDS Sheet 8A,Rev#  1 Date:         Bin:   ,,0,0,DC244630,5,0,0,0,214,PRIORITY PICK,
DC244630,DC201428,JAMIE,INV,1/31/25,1/31/25,293.02,0,293.02,23.73,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,222.1,,P,0,,2,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,CS,20.44,40.88,DC244630,6,0,2,85.2,214,PRIORITY PICK,
DC244630,DC201428,JAMIE,INV,1/31/25,1/31/25,293.02,0,293.02,23.73,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,222.1,,P,0,,0,CN,*DEPOSIT REQUIRED! ADD DEPOSIT,SKU ON SEPARATE LINE,,0,0,DC244630,7,0,0,0,214,PRIORITY PICK,
DC244630,DC201428,JAMIE,INV,1/31/25,1/31/25,293.02,0,293.02,23.73,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,222.1,,P,0,,0,CP,MSDS Sheet 174,Rev#    Date:05/03/11 Bin:   ,,0,0,DC244630,8,0,0,0,214,PRIORITY PICK,
DC244630,DC201428,JAMIE,INV,1/31/25,1/31/25,293.02,0,293.02,23.73,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,222.1,,P,0,,1,EZC-50-3550,47247040 24/PLT E-Z CLOR,50# 3&quot; 8OZ BIG TABS (UW),PL,155,155,DC244630,9,0,1,54,214,PRIORITY PICK,
DC244630,DC201428,JAMIE,INV,1/31/25,1/31/25,293.02,0,293.02,23.73,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,222.1,,P,0,,0,CP,MSDS Sheet 01,Rev#001 Date:06/16/00 Bin:   ,,0,0,DC244630,10,0,0,0,214,PRIORITY PICK,
ND385313,ND315734,SHAWN,INV,1/31/25,1/31/25,422.52,0,422.52,35.07,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,38.65,,P,0,,1,MGT-60-5350,B2842 1.5HP 208-230V EE 56Y,ODP SQFL MOTOR,EA,310.28,310.28,ND385313,1,0,1,35.5,512A,PRIORITY PICK,28324CHCL010269043
ND385313,ND315734,SHAWN,INV,1/31/25,1/31/25,422.52,0,422.52,35.07,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,38.65,,P,0,,1,TLD-101-2032,R0479400 FHPM/ JEP/ PHP/ SHP/,SWF/ WFTR SHAFT SEAL,EA,27.35,27.35,ND385313,2,0,1,0.5,512A,PRIORITY PICK,
ND385313,ND315734,SHAWN,INV,1/31/25,1/31/25,422.52,0,422.52,35.07,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,38.65,,P,0,,1,LAS-56-4220,429-025 10/BX 2.5&quot;S,SCH40 PVC COUPLING,EA,3.4,3.4,ND385313,3,0,1,0.5,512A,PRIORITY PICK,
ND385313,ND315734,SHAWN,INV,1/31/25,1/31/25,422.52,0,422.52,35.07,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,38.65,,P,0,,1,LAS-56-4269,429-030 10/BX 3&quot;S,SCH40 PVC COUPLING,EA,5.37,5.37,ND385313,4,0,1,0.65,512A,PRIORITY PICK,
ND385313,ND315734,SHAWN,INV,1/31/25,1/31/25,422.52,0,422.52,35.07,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,38.65,,P,0,,1,JDY-56-4053,4715 12/CS 1.5&quot;-2&quot; 3-PORT,CPVC NEVERLUBE VALVE,EA,76.12,76.12,ND385313,8,0,1,1.5,512A,PRIORITY PICK,
ND385313,ND315734,SHAWN,INV,1/31/25,1/31/25,422.52,0,422.52,35.07,0,0,1/31/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/31/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,38.65,,P,0,,0,C,BAY 2,,,0,0,ND385313,9,0,0,0,512A,PRIORITY PICK,
ND385197,ND315622,PERISHER,INV,1/30/25,1/30/25,14.6,15.81,14.6,1.21,0,0,1/30/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/30/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,1,,P,0,No Preferred Carrier,1,SPG-051-0121,FC-9430 10/CS 36SQF PARTIAL,UNIVERSAL DE FILTER GRID,EA,14.6,14.6,ND385197,1,0,1,1,512A,PRIORITY PICK,
81305283,81346491,BLAKE,INV,1/30/25,1/30/25,259.56,0,259.56,21.54,0,0,1/30/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/30/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,220.2,,P,0,,3,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,CS,28.04,84.12,81305283,1,0,3,123.6,81,PRIORITY PICK,
81305283,81346491,BLAKE,INV,1/30/25,1/30/25,259.56,0,259.56,21.54,0,0,1/30/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/30/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,220.2,,P,0,,0,CN,*DEPOSIT REQUIRED! ADD DEPOSIT,SKU ON SEPARATE LINE,,0,0,81305283,2,0,0,0,81,PRIORITY PICK,
81305283,81346491,BLAKE,INV,1/30/25,1/30/25,259.56,0,259.56,21.54,0,0,1/30/25,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,1/30/25,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,220.2,,P,0,,0,CP,MSDS Sheet 8A,Rev#  1 Date:         Bin:   ,,0,0,81305283,3,0,0,0,81,PRIORITY PICK,
