ReleaseNumber,InvoiceNumber,CustomerPO,Status,InvoiceDate,OrderDate,SalesOrderAmount,InvoiceAmount,MerchAmount,TaxAmount,Freight,Other,InvoiceDueDate,ShipToNumber,ShipToName,ShipToAddress1,ShipToAddress2,ShipToAddress3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCountry,OrderEntryDate,ShipVia,ARTermCode,TotalQty,TotalWeight,TrackingNumbers,InvStatus,InvBalDue,PreferredCarrier,UnitsSold,ProductNumber,ModelNum,Description,UOM,Cost,ExtCost,OrdNum,LineItemNum,BOQty,ShipQty,LineItemWeightExt,ShipWhseNum,LineShipVia,SerialNums
ND392204,ND321579,SHAWN,INV,03/12/2025,03/12/2025,624.29,0.00,624.29,51.82,0.00,0.00,03/12/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,03/12/2025,WILL CALL PICKUP,PP - 100% PREPAYMENT PICK-UP,4,5.97,,P,0.00,,1,SDC-40-1001,SW-10-033 SWIMABLES 3/PK,SS V-CLIPS,EA,11.42,11.42,ND392204,2,0,1,0.07,512A,WILL CALL PICKUP,
ND392204,ND321579,SHAWN,INV,03/12/2025,03/12/2025,624.29,0.00,624.29,51.82,0.00,0.00,03/12/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,03/12/2025,WILL CALL PICKUP,PP - 100% PREPAYMENT PICK-UP,4,5.97,,P,0.00,,1,HAY-151-0015,FDXLBKP1930 TAUPE FD SERIES,BEZEL & KEYPAD ASSY,EA,107.10,107.10,ND392204,6,0,1,0.85,512A,WILL CALL PICKUP,
ND392204,ND321579,SHAWN,INV,03/12/2025,03/12/2025,624.29,0.00,624.29,51.82,0.00,0.00,03/12/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,03/12/2025,WILL CALL PICKUP,PP - 100% PREPAYMENT PICK-UP,4,5.97,,P,0.00,,1,HAY-151-6914,FDXLICB1930 FD SERIES,INTEGRATED CONTROL BOARD,EA,366.82,366.82,ND392204,9,0,1,0.60,512A,WILL CALL PICKUP,
ND392204,ND321579,SHAWN,INV,03/12/2025,03/12/2025,624.29,0.00,624.29,51.82,0.00,0.00,03/12/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,03/12/2025,WILL CALL PICKUP,PP - 100% PREPAYMENT PICK-UP,4,5.97,,P,0.00,,1,SKM-40-2792,9024 8'-24' 3PC,DUAL LOCK TELEPOLE,EA,138.95,138.95,ND392204,13,0,1,4.45,512A,WILL CALL PICKUP,
ND392214,ND321584,Shawn,INV,03/12/2025,03/12/2025,223.92,242.51,223.92,18.59,0.00,0.00,03/12/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,03/12/2025,PRIORITY PICK,12 - CTR: CHECK OK,4,180.4,,P,0.00,No Preferred Carrier,1,EZC-50-3550,47247040 24/PLT E-Z CLOR,50# 3&quot; 8OZ BIG TABS (UW),PL,155.00,155.00,ND392214,1,0,1,54.00,512A,PRIORITY PICK,
ND392214,ND321584,Shawn,INV,03/12/2025,03/12/2025,223.92,242.51,223.92,18.59,0.00,0.00,03/12/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,03/12/2025,PRIORITY PICK,12 - CTR: CHECK OK,4,180.4,,P,0.00,No Preferred Carrier,0,CP,MSDS Sheet 01,"Rev#001 Date:06/16/00 Bin:   ",,0.00,0.00,ND392214,2,0,0,0.00,512A,PRIORITY PICK,
ND392214,ND321584,Shawn,INV,03/12/2025,03/12/2025,223.92,242.51,223.92,18.59,0.00,0.00,03/12/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,03/12/2025,PRIORITY PICK,12 - CTR: CHECK OK,4,180.4,,P,0.00,No Preferred Carrier,1,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,CS,28.04,28.04,ND392214,3,0,1,41.20,512A,PRIORITY PICK,
ND392214,ND321584,Shawn,INV,03/12/2025,03/12/2025,223.92,242.51,223.92,18.59,0.00,0.00,03/12/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,03/12/2025,PRIORITY PICK,12 - CTR: CHECK OK,4,180.4,,P,0.00,No Preferred Carrier,0,CP,MSDS Sheet 8A,"Rev#  1 Date:         Bin:   ",,0.00,0.00,ND392214,4,0,0,0.00,512A,PRIORITY PICK,
ND392214,ND321584,Shawn,INV,03/12/2025,03/12/2025,223.92,242.51,223.92,18.59,0.00,0.00,03/12/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,03/12/2025,PRIORITY PICK,12 - CTR: CHECK OK,4,180.4,,P,0.00,No Preferred Carrier,0,CN,*DEPOSIT REQUIRED! ADD DEPOSIT,SKU ON SEPARATE LINE,,0.00,0.00,ND392214,5,0,0,0.00,512A,PRIORITY PICK,
ND392214,ND321584,Shawn,INV,03/12/2025,03/12/2025,223.92,242.51,223.92,18.59,0.00,0.00,03/12/2025,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,03/12/2025,PRIORITY PICK,12 - CTR: CHECK OK,4,180.4,,P,0.00,No Preferred Carrier,2,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,CS,20.44,40.88,ND392214,6,0,2,85.20,512A,PRIORITY PICK,
