ReleaseNumber,InvoiceNumber,CustomerPO,Status,InvoiceDate,OrderDate,SalesOrderAmount,InvoiceAmount,MerchAmount,TaxAmount,Freight,Other,InvoiceDueDate,ShipToNumber,ShipToName,ShipToAddress1,ShipToAddress2,ShipToAddress3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCountry,OrderEntryDate,ShipVia,ARTermCode,TotalQty,TotalWeight,TrackingNumbers,InvStatus,InvBalDue,PreferredCarrier,UnitsSold,ProductNumber,ModelNum,Description,UOM,Cost,ExtCost,OrdNum,LineItemNum,BOQty,ShipQty,LineItemWeightExt,ShipWhseNum,LineShipVia,SerialNums
P5516858,P5445204,SHAWN,INV,12/23/2024,12/23/2024,21.24,22.90,21.24,1.66,0.00,0.00,12/23/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,12/23/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,1.6,,P,0.00,No Preferred Carrier,1,SPG-57-1001,WPLT05-63-SP .5&quot;x6' NM,#12 SOLID 3-WIRE WHIP KIT,EA,21.24,21.24,P5516858,1,0,1,1.60,537A,PRIORITY PICK,
DC242621,DC199849,SANDY,INV,12/23/2024,12/23/2024,44.77,0.00,44.77,3.63,0.00,0.00,12/23/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,12/23/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,3,3.3,,P,0.00,,1,SPG-051-0122,FC-9440 10/CS 48SQF PARTIAL,UNIVERSAL DE FILTER GRID,EA,17.70,17.70,DC242621,1,0,1,1.00,214,PRIORITY PICK,
DC242621,DC199849,SANDY,INV,12/23/2024,12/23/2024,44.77,0.00,44.77,3.63,0.00,0.00,12/23/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,12/23/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,3,3.3,,P,0.00,,1,SPG-051-0112,FC-9340 10/CS 48SQF FULL,UNIVERSAL DE FILTER GRID,EA,16.20,16.20,DC242621,2,0,1,2.00,214,PRIORITY PICK,
DC242621,DC199849,SANDY,INV,12/23/2024,12/23/2024,44.77,0.00,44.77,3.63,0.00,0.00,12/23/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,12/23/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,3,3.3,,P,0.00,,1,CTM-40-2502,25600-411-000,SMART SCOOP,EA,10.87,10.87,DC242621,3,0,1,0.30,214,PRIORITY PICK,
DC242533,DC199774,JAMIE,INV,12/20/2024,12/20/2024,223.92,0.00,223.92,18.14,0.00,0.00,12/20/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,12/20/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,180.4,,P,0.00,,1,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,CS,28.04,28.04,DC242533,1,0,1,41.20,214,PRIORITY PICK,
DC242533,DC199774,JAMIE,INV,12/20/2024,12/20/2024,223.92,0.00,223.92,18.14,0.00,0.00,12/20/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,12/20/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,180.4,,P,0.00,,0,CN,*DEPOSIT REQUIRED! ADD DEPOSIT,SKU ON SEPARATE LINE,,0.00,0.00,DC242533,2,0,0,0.00,214,PRIORITY PICK,
DC242533,DC199774,JAMIE,INV,12/20/2024,12/20/2024,223.92,0.00,223.92,18.14,0.00,0.00,12/20/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,12/20/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,180.4,,P,0.00,,0,CP,MSDS Sheet 8A,"Rev#  1 Date:         Bin:   ",,0.00,0.00,DC242533,3,0,0,0.00,214,PRIORITY PICK,
DC242533,DC199774,JAMIE,INV,12/20/2024,12/20/2024,223.92,0.00,223.92,18.14,0.00,0.00,12/20/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,12/20/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,180.4,,P,0.00,,2,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,CS,20.44,40.88,DC242533,4,0,2,85.20,214,PRIORITY PICK,
DC242533,DC199774,JAMIE,INV,12/20/2024,12/20/2024,223.92,0.00,223.92,18.14,0.00,0.00,12/20/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,12/20/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,180.4,,P,0.00,,0,CN,*DEPOSIT REQUIRED! ADD DEPOSIT,SKU ON SEPARATE LINE,,0.00,0.00,DC242533,5,0,0,0.00,214,PRIORITY PICK,
DC242533,DC199774,JAMIE,INV,12/20/2024,12/20/2024,223.92,0.00,223.92,18.14,0.00,0.00,12/20/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,12/20/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,180.4,,P,0.00,,0,CP,MSDS Sheet 174,"Rev#    Date:05/03/11 Bin:   ",,0.00,0.00,DC242533,6,0,0,0.00,214,PRIORITY PICK,
DC242533,DC199774,JAMIE,INV,12/20/2024,12/20/2024,223.92,0.00,223.92,18.14,0.00,0.00,12/20/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,12/20/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,180.4,,P,0.00,,1,EZC-50-3550,47247040 24/PLT E-Z CLOR,50# 3&quot; 8OZ BIG TABS (UW),PL,155.00,155.00,DC242533,7,0,1,54.00,214,PRIORITY PICK,
DC242533,DC199774,JAMIE,INV,12/20/2024,12/20/2024,223.92,0.00,223.92,18.14,0.00,0.00,12/20/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,12/20/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,4,180.4,,P,0.00,,0,CP,MSDS Sheet 01,"Rev#001 Date:06/16/00 Bin:   ",,0.00,0.00,DC242533,8,0,0,0.00,214,PRIORITY PICK,
ND379725,ND310928,SHAWN,INV,12/19/2024,12/19/2024,2281.19,0.00,2281.19,189.34,0.00,0.00,12/19/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,12/19/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,98.4,,P,0.00,,2,PUR-10-3105,011065 1.5HP 115/208-230V,"INTELLIFLO3 VSF ",EA,1118.42,2236.84,ND379725,1,0,2,96.00,512A,PRIORITY PICK,"1000102924,1000102930"
ND379725,ND310928,SHAWN,INV,12/19/2024,12/19/2024,2281.19,0.00,2281.19,189.34,0.00,0.00,12/19/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,12/19/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,98.4,,P,0.00,,4,SPG-601-1261,O-515KIT-9 JANDY,DIVERTER VALVE ORING KIT,EA,3.75,15.00,ND379725,2,0,4,0.20,512A,PRIORITY PICK,
