ReleaseNumber,InvoiceNumber,CustomerPO,Status,InvoiceDate,OrderDate,SalesOrderAmount,InvoiceAmount,MerchAmount,TaxAmount,Freight,Other,InvoiceDueDate,ShipToNumber,ShipToName,ShipToAddress1,ShipToAddress2,ShipToAddress3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCountry,OrderEntryDate,ShipVia,ARTermCode,TotalQty,TotalWeight,TrackingNumbers,InvStatus,InvBalDue,PreferredCarrier,UnitsSold,ProductNumber,ModelNum,Description,UOM,Cost,ExtCost,OrdNum,LineItemNum,BOQty,ShipQty,LineItemWeightExt,ShipWhseNum,LineShipVia,SerialNums
DC241276,DC198726,SANDRA,INV,11/27/2024,11/27/2024,48.87,52.83,48.87,3.96,0.00,0.00,11/27/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/27/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,0.39,,P,0.00,No Preferred Carrier,1,HAY-051-1800,DEX2400S RELIEF VALVE &,GAUGE ADAPTER ASSY,EA,34.97,34.97,DC241276,1,0,1,0.09,214,PRIORITY PICK,
DC241276,DC198726,SANDRA,INV,11/27/2024,11/27/2024,48.87,52.83,48.87,3.96,0.00,0.00,11/27/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/27/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,0.39,,P,0.00,No Preferred Carrier,1,TCE-56-601,TA-SW520,.75&quot;x520' TEFLON TAPE,EA,2.44,2.44,DC241276,2,0,1,0.05,214,PRIORITY PICK,
DC241276,DC198726,SANDRA,INV,11/27/2024,11/27/2024,48.87,52.83,48.87,3.96,0.00,0.00,11/27/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/27/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,0.39,,P,0.00,No Preferred Carrier,1,MAM-601-1019,31-CNFJSS 5/16-18 SS,HEX HEAD NUT,EA,0.68,0.68,DC241276,3,0,1,0.05,214,PRIORITY PICK,
DC241276,DC198726,SANDRA,INV,11/27/2024,11/27/2024,48.87,52.83,48.87,3.96,0.00,0.00,11/27/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/27/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,0.39,,P,0.00,No Preferred Carrier,1,VAL-601-5001,V20-666 .25&quot;ID SS,WING NUT,EA,2.20,2.20,DC241276,4,0,1,0.05,214,PRIORITY PICK,
DC241276,DC198726,SANDRA,INV,11/27/2024,11/27/2024,48.87,52.83,48.87,3.96,0.00,0.00,11/27/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/27/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,0.39,,P,0.00,No Preferred Carrier,1,SPG-06-2001,81060BUCF 2&quot; 0-60PSI 0.25&quot; BTM,MOUNT PLASTIC PRESSURE GAUGE,EA,8.58,8.58,DC241276,5,0,1,0.15,214,PRIORITY PICK,
DC241272,DC198722,SHAWN,INV,11/27/2024,11/27/2024,65.25,70.54,65.25,5.29,0.00,0.00,11/27/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/27/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,25,12.5,,P,0.00,No Preferred Carrier,25,LAS-56-4063,406-020 25/BX 2&quot;S,SCH40 PVC 90^ ELL,EA,2.61,65.25,DC241272,1,0,25,12.50,214,PRIORITY PICK,
DC241241,DC198697,PHIL,INV,11/27/2024,11/27/2024,50.10,54.16,50.10,4.06,0.00,0.00,11/27/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/27/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,3,5,,P,0.00,No Preferred Carrier,1,SPG-051-0122,FC-9440 10/CS 48SQF PARTIAL,UNIVERSAL DE FILTER GRID,EA,17.70,17.70,DC241241,1,0,1,1.00,214,PRIORITY PICK,
DC241241,DC198697,PHIL,INV,11/27/2024,11/27/2024,50.10,54.16,50.10,4.06,0.00,0.00,11/27/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/27/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,3,5,,P,0.00,No Preferred Carrier,2,SPG-051-0112,FC-9340 10/CS 48SQF FULL,UNIVERSAL DE FILTER GRID,EA,16.20,32.40,DC241241,2,0,2,4.00,214,PRIORITY PICK,
DC241210,DC198671,PHIL,INV,11/26/2024,11/26/2024,5.66,0.00,5.66,0.46,0.00,0.00,11/26/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/26/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,6,,P,0.00,,1,AAA-06-243,CELAPOOL 132/PLT,6# DE POWDER,BAG,5.66,5.66,DC241210,1,0,1,6.00,214,PRIORITY PICK,
P5514589,P5443389,SANDY,INV,11/26/2024,11/26/2024,15.29,0.00,15.29,1.19,0.00,0.00,11/26/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/26/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,23.4,,P,0.00,,1,AAA-06-241,CELAPOOL 24#,DIATOMAECOUS EARTH DE POLYBAG,BAG,15.29,15.29,P5514589,1,0,1,23.40,537A,PRIORITY PICK,
SD022183,SD020786,SANDY,INV,11/25/2024,11/25/2024,209.09,0.00,209.09,17.35,0.00,0.00,11/25/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/25/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,23.15,,P,0.00,,1,SPG-051-0132,FC-9550 8/BX 60SQF,UNIVERSAL DE GRID SET,BOX,209.09,209.09,SD022183,1,0,1,23.15,644,PRIORITY PICK,
SD022183,SD020786,SANDY,INV,11/25/2024,11/25/2024,209.09,0.00,209.09,17.35,0.00,0.00,11/25/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/25/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,23.15,,P,0.00,,0,CN,&quot;COMPLETE SET OF GRIDS&quot;,,,0.00,0.00,SD022183,2,0,0,0.00,644,PRIORITY PICK,
ND375929,ND307618,SHAWN,INV,11/22/2024,11/22/2024,13.53,14.65,13.53,1.12,0.00,0.00,11/22/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/22/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,1,0.1,,P,0.00,No Preferred Carrier,1,SPG-601-1265,PK-KIT2-9 ORING KIT,HAYWARD SUPER II,EA,13.53,13.53,ND375929,1,0,1,0.10,512A,PRIORITY PICK,
ND375923,ND307614,SHAWN,INV,11/22/2024,11/22/2024,159.28,0.00,159.28,13.22,0.00,0.00,11/22/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/22/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,1.65,,P,0.00,,1,TLC-57-0091,P491 10/CS .5&quot; 90^,NM LIQUID TIGHT CONNECTOR,EA,4.79,4.79,ND375923,1,0,1,0.05,512A,PRIORITY PICK,
ND375923,ND307614,SHAWN,INV,11/22/2024,11/22/2024,159.28,0.00,159.28,13.22,0.00,0.00,11/22/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/22/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,1.65,,P,0.00,,1,HAY-101-2075,SPX3021C 2HP FR SUPER II,IMPELLER (AFTER 1989),EA,54.55,54.55,ND375923,3,0,1,0.51,512A,PRIORITY PICK,
ND375923,ND307614,SHAWN,INV,11/22/2024,11/22/2024,159.28,0.00,159.28,13.22,0.00,0.00,11/22/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/22/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,1.65,,P,0.00,,1,HAY-101-7322,SPX3016C 1.5HP FR SUPER II,IMPELLER (AFTER 1989),EA,52.56,52.56,ND375923,4,0,1,0.49,512A,PRIORITY PICK,
ND375923,ND307614,SHAWN,INV,11/22/2024,11/22/2024,159.28,0.00,159.28,13.22,0.00,0.00,11/22/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/22/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,1.65,,P,0.00,,1,USS-60-5022,PS201 .75&quot;,GENERAL SERVICE SEAL ASSY,EA,6.07,6.07,ND375923,5,0,1,0.10,512A,PRIORITY PICK,
ND375923,ND307614,SHAWN,INV,11/22/2024,11/22/2024,159.28,0.00,159.28,13.22,0.00,0.00,11/22/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/22/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,1.65,,P,0.00,,1,HAY-101-2071,SPX3010C 1HP FR,SUPER II IMPELLER (AFTER 1987),EA,41.31,41.31,ND375923,6,0,1,0.50,512A,PRIORITY PICK,
ND375923,ND307614,SHAWN,INV,11/22/2024,11/22/2024,159.28,0.00,159.28,13.22,0.00,0.00,11/22/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/22/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,1.65,,P,0.00,,0,C,COUNTER,,,0.00,0.00,ND375923,7,0,0,0.00,512A,PRIORITY PICK,
DC240958,DC198474,JEREMIAH,INV,11/21/2024,11/21/2024,254.80,0.00,254.80,20.64,0.00,0.00,11/21/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/21/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,180.85,,P,0.00,,2,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,CS,20.44,40.88,DC240958,1,0,2,85.20,214,PRIORITY PICK,
DC240958,DC198474,JEREMIAH,INV,11/21/2024,11/21/2024,254.80,0.00,254.80,20.64,0.00,0.00,11/21/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/21/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,180.85,,P,0.00,,0,CP,MSDS Sheet 174,"Rev#    Date:05/03/11 Bin:   ",,0.00,0.00,DC240958,2,0,0,0.00,214,PRIORITY PICK,
DC240958,DC198474,JEREMIAH,INV,11/21/2024,11/21/2024,254.80,0.00,254.80,20.64,0.00,0.00,11/21/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/21/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,180.85,,P,0.00,,1,HAS-50-135,15041 4/CS,GAL REFILLABLE MURIATIC ACID,CS,28.04,28.04,DC240958,3,0,1,41.20,214,PRIORITY PICK,
DC240958,DC198474,JEREMIAH,INV,11/21/2024,11/21/2024,254.80,0.00,254.80,20.64,0.00,0.00,11/21/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/21/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,180.85,,P,0.00,,0,CP,MSDS Sheet 8A,"Rev#  1 Date:         Bin:   ",,0.00,0.00,DC240958,4,0,0,0.00,214,PRIORITY PICK,
DC240958,DC198474,JEREMIAH,INV,11/21/2024,11/21/2024,254.80,0.00,254.80,20.64,0.00,0.00,11/21/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/21/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,7,180.85,,P,0.00,,1,EZC-50-3550,47247040 24/PLT E-Z CLOR,50# 3&quot; 8OZ BIG TABS (UW),PL,155.00,155.00,DC240958,5,0,1,54.00,214,PRIORITY PICK,
