ReleaseNumber,InvoiceNumber,CustomerPO,Status,InvoiceDate,OrderDate,SalesOrderAmount,InvoiceAmount,MerchAmount,TaxAmount,Freight,Other,InvoiceDueDate,ShipToNumber,ShipToName,ShipToAddress1,ShipToAddress2,ShipToAddress3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCountry,OrderEntryDate,ShipVia,ARTermCode,TotalQty,TotalWeight,TrackingNumbers,InvStatus,InvBalDue,PreferredCarrier,UnitsSold,ProductNumber,ModelNum,Description,UOM,Cost,ExtCost,OrdNum,LineItemNum,BOQty,ShipQty,LineItemWeightExt,ShipWhseNum,LineShipVia,SerialNums
DC240069,DC197725,,INV,11/07/2024,11/07/2024,4.36,4.71,4.36,0.35,0.00,0.00,11/07/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/07/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,2,0.3,,P,0.00,No Preferred Carrier,2,LAS-56-4096,437-251 25/BX 2&quot;SPGx1.5&quot;S,SCH40 PVC REDUCER BUSHING,EA,2.18,4.36,DC240069,1,0,2,0.30,214,PRIORITY PICK,
DC240064,DC197721,,INV,11/07/2024,11/07/2024,188.16,0.00,188.16,15.24,0.00,0.00,11/07/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/07/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,64.33,,P,0.00,,1,SDC-101-0004,SW-21-350 SUPERFLO,SUPERFLO UNION KIT,EA,21.27,21.27,DC240064,1,0,1,0.75,214,PRIORITY PICK,
DC240064,DC197721,,INV,11/07/2024,11/07/2024,188.16,0.00,188.16,15.24,0.00,0.00,11/07/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/07/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,64.33,,P,0.00,,1,PAC-101-1036,355030Z CHALLENGER/ SUPERFLO/,SUPERMAX DIFFUSER ORING,EA,9.26,9.26,DC240064,2,0,1,0.03,214,PRIORITY PICK,
DC240064,DC197721,,INV,11/07/2024,11/07/2024,188.16,0.00,188.16,15.24,0.00,0.00,11/07/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/07/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,64.33,,P,0.00,,1,HAS-50-136,01041 4/CS,GAL REFILLABLE SANI-CHLOR,CS,20.44,20.44,DC240064,3,0,1,42.60,214,PRIORITY PICK,
DC240064,DC197721,,INV,11/07/2024,11/07/2024,188.16,0.00,188.16,15.24,0.00,0.00,11/07/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/07/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,64.33,,P,0.00,,0,CP,MSDS Sheet 174,"Rev#    Date:05/03/11 Bin:   ",,0.00,0.00,DC240064,4,0,0,0.00,214,PRIORITY PICK,
DC240064,DC197721,,INV,11/07/2024,11/07/2024,188.16,0.00,188.16,15.24,0.00,0.00,11/07/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/07/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,64.33,,P,0.00,,1,APB-50-856,406104A 4/CS,GAL SWIMTRINE PLUS,BTL,79.14,79.14,DC240064,5,0,1,10.95,214,PRIORITY PICK,
DC240064,DC197721,,INV,11/07/2024,11/07/2024,188.16,0.00,188.16,15.24,0.00,0.00,11/07/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/07/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,64.33,,P,0.00,,0,CP,MSDS Sheet 174,"Rev#    Date:05/03/11 Bin:   ",,0.00,0.00,DC240064,6,0,0,0.00,214,PRIORITY PICK,
DC240064,DC197721,,INV,11/07/2024,11/07/2024,188.16,0.00,188.16,15.24,0.00,0.00,11/07/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/07/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,64.33,,P,0.00,,1,BDL-50-192,SK04 4/CS,GAL SKILL-IT ALGAECIDE,BTL,58.05,58.05,DC240064,7,0,1,10.00,214,PRIORITY PICK,
DC240064,DC197721,,INV,11/07/2024,11/07/2024,188.16,0.00,188.16,15.24,0.00,0.00,11/07/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/07/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,5,64.33,,P,0.00,,0,CP,MSDS Sheet 1411,"Rev#  1 Date:02/01/16 Bin:   ",,0.00,0.00,DC240064,8,0,0,0.00,214,PRIORITY PICK,
ND373302,ND305319,JAMIE CASTLE POOL TECH,INV,11/07/2024,11/07/2024,169.75,0.00,169.75,14.09,0.00,0.00,11/07/2024,D,KPS POOLS LLC,705 E OXFORD DR,,,TEMPE,AZ,85283-1962,,11/07/2024,PRIORITY PICK,PP - 100% PREPAYMENT PICK-UP,6,131.95,,P,0.00,,1,SPG-601-0167,27180-167-000 B-167 HAYWARD,SUPER PUMP STRAINER BASKET,EA,8.03,8.03,ND373302,1,0,1,0.45,512A,PRIORITY PICK,
